01.04.2017|1073|34287|17412029|121|191|1082|2
02.04.2017|1518|33560|17445589|382|232|1341|3
03.04.2017|1702|45871|17491460|475|247|1784|6
04.04.2017|1620|32134|17523594|406|291|1735|10
05.04.2017|1703|25195|17548789|420|283|1810|10
06.04.2017|1609|41412|17590201|395|263|1351|10
07.04.2017|1614|35212|17625413|381|254|1810|19
08.04.2017|1666|34211|17659624|343|290|1516|11
09.04.2017|1807|30168|17689792|298|385|2135|21
10.04.2017|1782|35777|17725569|386|428|5917|11
11.04.2017|1708|26146|17751715|415|341|2172|16
12.04.2017|1747|25398|17777113|371|410|2058|20
13.04.2017|1602|23645|17800758|280|354|2444|13
14.04.2017|1620|36754|17837512|381|272|2203|11
15.04.2017|1707|30140|17867652|332|361|1898|9
16.04.2017|1852|49619|17917271|346|433|7671|15
17.04.2017|1945|40996|17958267|409|457|4500|12
18.04.2017|1840|27250|17985517|413|457|2237|16
19.04.2017|1772|31859|18017376|343|408|2325|14
20.04.2017|1617|39001|18056377|261|409|2253|9
21.04.2017|1583|36786|18093163|288|292|9501|17
22.04.2017|1666|31225|18124388|339|341|1910|10
23.04.2017|1663|34274|18158662|331|348|2063|16
24.04.2017|1756|38967|18197629|383|414|1643|14
25.04.2017|1623|36977|18234306|373|391|1370|13
26.04.2017|1823|33677|16234306|398|381|1270|17
27.04.2017|1923|31677|15234306|273|481|1170|19
